# This is for paper [ICME 2025] Variance-Reduction Guidance: Sampling Trajectory Optimization for Diffusion Models
# dataset: LSUN Bedroom
# pre-trained model: https://github.com/pesser/pytorch_diffusion?tab=readme-ov-file
# pre-trained model: https://heibox.uni-heidelberg.de/d/01207c3f6b8441779abf/?p=%2Fdiffusion_models_converted%2Fema_diffusion_cifar10_model&mode=list
# pre-trained model: ema-cifar10-model-790000.ckpt
#
# ts : timestep
# MSE: mean squared error between predicted noise and ground-truth noise
#      The MSE value below is the average of all dimensions.
#
# ts  	alpha_bar	MSE
 880	0.000394	0.00010177
 881	0.000387	0.00009961
 882	0.000381	0.00009827
 883	0.000374	0.00009661
 884	0.000367	0.00009489
 885	0.000361	0.00009363
 886	0.000354	0.00009197
 887	0.000348	0.00009081
 888	0.000342	0.00008937
 889	0.000336	0.00008791
 890	0.000330	0.00008657
 891	0.000324	0.00008499
 892	0.000318	0.00008339
 893	0.000312	0.00008218
 894	0.000307	0.00008099
 895	0.000301	0.00007949
 896	0.000296	0.00007824
 897	0.000291	0.00007704
 898	0.000285	0.00007580
 899	0.000280	0.00007458
 900	0.000275	0.00007331
 901	0.000270	0.00007210
 902	0.000265	0.00007097
 903	0.000261	0.00006974
 904	0.000256	0.00006875
 905	0.000251	0.00006776
 906	0.000247	0.00006673
 907	0.000242	0.00006559
 908	0.000238	0.00006447
 909	0.000233	0.00006361
 910	0.000229	0.00006245
 911	0.000225	0.00006143
 912	0.000221	0.00006063
 913	0.000217	0.00005955
 914	0.000213	0.00005882
 915	0.000209	0.00005787
 916	0.000205	0.00005687
 917	0.000201	0.00005604
 918	0.000198	0.00005517
 919	0.000194	0.00005428
 920	0.000191	0.00005348
 921	0.000187	0.00005249
 922	0.000184	0.00005184
 923	0.000180	0.00005092
 924	0.000177	0.00005014
 925	0.000174	0.00004952
 926	0.000170	0.00004864
 927	0.000167	0.00004789
 928	0.000164	0.00004712
 929	0.000161	0.00004649
 930	0.000158	0.00004558
 931	0.000155	0.00004480
 932	0.000152	0.00004415
 933	0.000149	0.00004349
 934	0.000147	0.00004288
 935	0.000144	0.00004223
 936	0.000141	0.00004164
 937	0.000139	0.00004096
 938	0.000136	0.00004040
 939	0.000133	0.00003967
 940	0.000131	0.00003903
 941	0.000128	0.00003851
 942	0.000126	0.00003804
 943	0.000124	0.00003754
 944	0.000121	0.00003695
 945	0.000119	0.00003639
 946	0.000117	0.00003579
 947	0.000114	0.00003519
 948	0.000112	0.00003476
 949	0.000110	0.00003418
 950	0.000108	0.00003370
 951	0.000106	0.00003304
 952	0.000104	0.00003255
 953	0.000102	0.00003207
 954	0.000100	0.00003157
 955	0.000098	0.00003111
 956	0.000096	0.00003067
 957	0.000094	0.00003017
 958	0.000093	0.00002975
 959	0.000091	0.00002933
 960	0.000089	0.00002897
 961	0.000087	0.00002867
 962	0.000086	0.00002833
 963	0.000084	0.00002803
 964	0.000082	0.00002763
 965	0.000081	0.00002721
 966	0.000079	0.00002674
 967	0.000078	0.00002627
 968	0.000076	0.00002614
 969	0.000075	0.00002568
 970	0.000073	0.00002524
 971	0.000072	0.00002486
 972	0.000071	0.00002458
 973	0.000069	0.00002418
 974	0.000068	0.00002386
 975	0.000066	0.00002361
 976	0.000065	0.00002315
 977	0.000064	0.00002293
 978	0.000063	0.00002271
 979	0.000061	0.00002244
 980	0.000060	0.00002211
 981	0.000059	0.00002187
 982	0.000058	0.00002156
 983	0.000057	0.00002123
 984	0.000056	0.00002099
 985	0.000055	0.00002060
 986	0.000053	0.00002038
 987	0.000052	0.00002011
 988	0.000051	0.00001994
 989	0.000050	0.00001975
 990	0.000049	0.00001935
 991	0.000048	0.00001922
 992	0.000047	0.00001893
 993	0.000046	0.00001875
 994	0.000046	0.00001857
 995	0.000045	0.00001832
 996	0.000044	0.00001807
 997	0.000043	0.00001787
 998	0.000042	0.00001775
 999	0.000041	0.00001756
1000	0.000040	0.00001739
1001	0.000000	0.00000000
# the last row (ts 1001) is a safeguard.
